bname,cname,no_votes
Ballymun C1 2,Rock,14
Ballymun C1 3,Rock,9
Ballymun C1 4,Rock,7
Ballymun E 1,Rock,90
Ballymun E 2,Rock,95
Ballymun C2 1,Rock,106
Finglas Nth B 1,Rock,10
Finglas Nth B 2,Rock,10
Finglas Nth B 3,Rock,21
Finglas Nth A 1,Rock,12
Finglas Nth A 2,Rock,14
Finglas Nth A 3,Rock,21
Finglas Nth C 1,Rock,43
Finglas Nth C 2,Rock,27
Finglas Nth C 3,Rock,28
Ballymun F/Fing Nth C/Bmun F 1,Rock,59
Ballymun F 1,Rock,76
Ballymun F 2,Rock,60
Finglas Sth A 1,Rock,16
Finglas Sth A 2,Rock,20
Finglas Sth A 3,Rock,11
Cappagh/Ballycoolen 1,Rock,15
Finglas Sth B 1,Rock,16
Finglas Sth B 2,Rock,18
Finglas Sth B 3,Rock,30
Finglas Sth C 1,Rock,10
Finglas Sth C 2,Rock,18
Finglas Sth C 3,Rock,12
Finglas Sth D 1,Rock,23
Finglas Sth D 2,Rock,31
Whitehall A1 1,Rock,106
Whitehall A1/D1 1,Rock,133
Whitehall D1 1,Rock,102
Whitehall A2 1,Rock,74
Whitehall A2 2,Rock,93
Whitehall B1 1,Rock,101
Whitehall B2 2,Rock,82
Whitehall B2 3,Rock,47
Whitehall B2 4,Rock,61
Whitehall B2/C 1,Rock,107
Whitehll C pt 1,Rock,76
Airport 3 1,Rock,84
Turnapin 1,Rock,92
NorthWood/Santry 1,Rock,69
Whitehall C pt 1,Rock,39
Beaumont A 1,Rock,102
Beaumont A 2,Rock,87
Beaumont A/WH D2 1,Rock,120
Whitehall D2 1,Rock,59
Postal 1,Rock,7
Ballygall A 1,Shortall,58
Ballygall A 2,Shortall,111
Ballygall A 3,Shortall,82
Ballygall B 1,Shortall,80
Ballygall B 2,Shortall,116
Finglas Nth 1,Shortall,43
Charlestwn 1,Shortall,48
Lanesbro 1,Shortall,47
Lanesbro 2,Shortall,47
Ballygall C 1,Shortall,133
Ballygall C 2,Shortall,152
Ballygall C 3,Shortall,132
Ballygall C/D 1,Shortall,132
Ballygall D 1,Shortall,135
Ballygall D 2,Shortall,142
Ballymun A 1,Shortall,37
Ballymun A 2,Shortall,32
Ballymun A 3,Shortall,39
Ballymun A/B 1,Shortall,35
Ballymun B 1,Shortall,21
Ballymun B 2,Shortall,45
Ballymun B/D 1,Shortall,30
Ballymun D 1,Shortall,23
Ballymun D 2,Shortall,31
Ballymun C1 1,Shortall,30
Ballymun C1 2,Shortall,43
Ballymun C1 3,Shortall,26
Ballymun C1 4,Shortall,47
Ballymun E 1,Shortall,102
Ballymun E 2,Shortall,130
Ballymun C2 1,Shortall,138
Finglas Nth B 1,Shortall,31
Finglas Nth B 2,Shortall,56
Finglas Nth B 3,Shortall,81
Finglas Nth A 1,Shortall,52
Finglas Nth A 2,Shortall,63
Finglas Nth A 3,Shortall,58
Finglas Nth C 1,Shortall,89
Finglas Nth C 2,Shortall,117
Finglas Nth C 3,Shortall,94
Ballymun F/Fing Nth C/Bmun F 1,Shortall,104
Ballymun F 1,Shortall,164
Ballymun F 2,Shortall,106
Finglas Sth A 1,Shortall,39
Finglas Sth A 2,Shortall,55
Finglas Sth A 3,Shortall,60
Cappagh/Ballycoolen 1,Shortall,28
Finglas Sth B 1,Shortall,50
Finglas Sth B 2,Shortall,59
Finglas Sth B 3,Shortall,67
Finglas Sth C 1,Shortall,21
Finglas Sth C 2,Shortall,21
Finglas Sth C 3,Shortall,26
Finglas Sth D 1,Shortall,44
Finglas Sth D 2,Shortall,59
Whitehall A1 1,Shortall,77
Whitehall A1/D1 1,Shortall,101
Whitehall D1 1,Shortall,85
Whitehall A2 1,Shortall,117
Whitehall A2 2,Shortall,201
Whitehall B1 1,Shortall,141
Whitehall B2 2,Shortall,119
Whitehall B2 3,Shortall,108
Whitehall B2 4,Shortall,99
Whitehall B2/C 1,Shortall,130
Whitehll C pt 1,Shortall,130
Airport 3 1,Shortall,111
Turnapin 1,Shortall,123
NorthWood/Santry 1,Shortall,126
Whitehall C pt 1,Shortall,85
Beaumont A 1,Shortall,148
Beaumont A 2,Shortall,138
Beaumont A/WH D2 1,Shortall,140
Whitehall D2 1,Shortall,124
Postal 1,Shortall,22
